 user_id | reputation_score |        last_updated        
---------+------------------+----------------------------
       6 |               18 | 2025-03-24 20:28:10.628544
      14 |               16 | 2025-03-24 20:28:10.731747
       9 |               36 | 2025-03-24 20:28:10.770128
       5 |               18 | 2025-03-24 20:28:10.776512
      15 |               14 | 2025-03-24 20:28:10.789313
      18 |               48 | 2025-03-24 20:28:10.81493
      13 |               38 | 2025-03-24 20:28:10.846468
       3 |               90 | 2025-03-24 20:28:10.852854
       2 |               50 | 2025-03-24 20:28:10.905351
      20 |               30 | 2025-03-24 20:28:10.914768
       7 |               34 | 2025-03-24 20:28:10.922273
       8 |               50 | 2025-03-24 20:28:10.929249
      12 |               98 | 2025-03-24 20:28:10.949199
       4 |               46 | 2025-03-24 20:28:10.962027
      11 |               52 | 2025-03-24 20:28:10.968503
      10 |               68 | 2025-03-24 20:28:10.975149
      17 |               82 | 2025-03-24 20:28:10.981695
      16 |               18 | 2025-03-24 20:28:10.540273
      19 |               44 | 2025-03-24 20:28:10.591097

      ^result after being run on seed data
